date,bank_interest_rate_percentage
13-Jan-00,5.75
10-Feb-00,6
09-Mar-00,6
06-Apr-00,6
04-May-00,6
07-Jun-00,6
06-Jul-00,6
03-Aug-00,6
07-Sep-00,6
05-Oct-00,6
09-Nov-00,6
07-Dec-00,6
11-Jan-01,6
08-Feb-01,5.75
08-Mar-01,5.75
05-Apr-01,5.5
10-May-01,5.25
06-Jun-01,5.25
05-Jul-01,5.25
02-Aug-01,5
06-Sep-01,5
18-Sep-01,4.75
04-Oct-01,4.5
08-Nov-01,4
05-Dec-01,4
10-Jan-02,4
07-Feb-02,4
07-Mar-02,4
04-Apr-02,4
09-May-02,4
06-Jun-02,4
04-Jul-02,4
01-Aug-02,4
05-Sep-02,4
10-Oct-02,4
07-Nov-02,4
05-Dec-02,4
09-Jan-03,4
06-Feb-03,3.75
06-Mar-03,3.75
10-Apr-03,3.75
08-May-03,3.75
05-Jun-03,3.75
10-Jul-03,3.5
07-Aug-03,3.5
04-Sep-03,3.5
09-Oct-03,3.5
06-Nov-03,3.75
04-Dec-03,3.75
08-Jan-04,3.75
05-Feb-04,4
04-Mar-04,4
08-Apr-04,4
06-May-04,4.25
10-Jun-04,4.5
08-Jul-04,4.5
05-Aug-04,4.75
09-Sep-04,4.75
07-Oct-04,4.75
04-Nov-04,4.75
09-Dec-04,4.75
13-Jan-05,4.75
10-Feb-05,4.75
10-Mar-05,4.75
07-Apr-05,4.75
09-May-05,4.75
09-Jun-05,4.75
07-Jul-05,4.75
04-Aug-05,4.5
08-Sep-05,4.5
06-Oct-05,4.5
10-Nov-05,4.5
08-Dec-05,4.5
12-Jan-06,4.5
09-Feb-06,4.5
09-Mar-06,4.5
06-Apr-06,4.5
04-May-06,4.5
08-Jun-06,4.5
06-Jul-06,4.5
03-Aug-06,4.75
07-Sep-06,4.75
05-Oct-06,4.75
09-Nov-06,5
07-Dec-06,5
11-Jan-07,5.25
08-Feb-07,5.25
08-Mar-07,5.25
05-Apr-07,5.25
10-May-07,5.5
07-Jun-07,5.5
05-Jul-07,5.75
02-Aug-07,5.75
06-Sep-07,5.75
04-Oct-07,5.75
08-Nov-07,5.75
06-Dec-07,5.5
10-Jan-08,5.5
07-Feb-08,5.25
06-Mar-08,5.25
10-Apr-08,5
08-May-08,5
05-Jun-08,5
10-Jul-08,5
07-Aug-08,5
04-Sep-08,5
08-Oct-08,4.5
06-Nov-08,3
04-Dec-08,2
08-Jan-09,1.5
05-Feb-09,1
05-Mar-09,0.5
09-Apr-09,0.5
07-May-09,0.5
04-Jun-09,0.5
09-Jul-09,0.5
06-Aug-09,0.5
10-Sep-09,0.5
08-Oct-09,0.5
05-Nov-09,0.5
10-Dec-09,0.5
07-Jan-10,0.5
04-Feb-10,0.5
04-Mar-10,0.5
08-Apr-10,0.5
10-May-10,0.5
10-Jun-10,0.5
08-Jul-10,0.5
05-Aug-10,0.5
09-Sep-10,0.5
07-Oct-10,0.5
04-Nov-10,0.5
09-Dec-10,0.5
13-Jan-11,0.5
10-Feb-11,0.5
10-Mar-11,0.5
07-Apr-11,0.5
05-May-11,0.5
09-Jun-11,0.5
07-Jul-11,0.5
04-Aug-11,0.5
08-Sep-11,0.5
06-Oct-11,0.5
10-Nov-11,0.5
08-Dec-11,0.5
12-Jan-12,0.5
09-Feb-12,0.5
08-Mar-12,0.5
05-Apr-12,0.5
10-May-12,0.5
07-Jun-12,0.5
05-Jul-12,0.5
02-Aug-12,0.5
06-Sep-12,0.5
04-Oct-12,0.5
08-Nov-12,0.5
06-Dec-12,0.5
10-Jan-13,0.5
07-Feb-13,0.5
07-Mar-13,0.5
04-Apr-13,0.5
09-May-13,0.5
06-Jun-13,0.5
04-Jul-13,0.5
01-Aug-13,0.5
05-Sep-13,0.5
09-Oct-13,0.5
07-Nov-13,0.5
05-Dec-13,0.5
09-Jan-14,0.5
06-Feb-14,0.5
06-Mar-14,0.5
09-Apr-14,0.5
08-May-14,0.5
05-Jun-14,0.5
10-Jul-14,0.5
07-Aug-14,0.5
04-Sep-14,0.5
08-Oct-14,0.5
06-Nov-14,0.5
04-Dec-14,0.5
08-Jan-15,0.5
05-Feb-15,0.5
05-Mar-15,0.5
09-Apr-15,0.5
08-May-15,0.5
03-Jun-15,0.5
08-Jul-15,0.5
06-Aug-15,0.5
10-Sep-15,0.5
08-Oct-15,0.5
05-Nov-15,0.5
10-Dec-15,0.5
14-Jan-16,0.5
04-Feb-16,0.5
17-Mar-16,0.5
14-Apr-16,0.5
12-May-16,0.5
16-Jun-16,0.5
14-Jul-16,0.5
04-Aug-16,0.25
15-Sep-16,0.25
03-Nov-16,0.25
15-Dec-16,0.25
02-Feb-17,0.25
16-Mar-17,0.25
11-May-17,0.25
15-Jun-17,0.25
03-Aug-17,0.25
14-Sep-17,0.25
02-Nov-17,0.5
14-Dec-17,0.5
08-Feb-18,0.5
22-Mar-18,0.5
10-May-18,0.5
21-Jun-18,0.5
02-Aug-18,0.75
13-Sep-18,0.75
01-Nov-18,0.75
20-Dec-18,0.75
07-Feb-19,0.75
21-Mar-19,0.75
02-May-19,0.75
20-Jun-19,0.75
01-Aug-19,0.75
19-Sep-19,0.75
07-Nov-19,0.75
19-Dec-19,0.75
30-Jan-20,0.75
11-Mar-20,0.25
19-Mar-20,0.1
26-Mar-20,0.1
07-May-20,0.1
18-Jun-20,0.1
06-Aug-20,0.1
17-Sep-20,0.1
05-Nov-20,0.1
17-Dec-20,0.1
04-Feb-21,0.1
18-Mar-21,0.1
06-May-21,0.1
24-Jun-21,0.1
05-Aug-21,0.1
23-Sep-21,0.1
04-Nov-21,0.1
16-Dec-21,0.25
03-Feb-22,0.5
17-Mar-22,0.75
05-May-22,1
16-Jun-22,1.25
04-Aug-22,1.75
22-Sep-22,2.25
03-Nov-22,3
15-Dec-22,3.5
02-Feb-23,4
23-Mar-23,4.25
11-May-23,4.5
22-Jun-23,5
03-Aug-23,5.25
21-Sep-23,5.25
