date,12month_percentage_change
2000 JAN,18.9
2000 FEB,19.3
2000 MAR,16.9
2000 APR,13.2
2000 MAY,12.7
2000 JUN,18.4
2000 JUL,17.8
2000 AUG,10.1
2000 SEP,13
2000 OCT,9.7
2000 NOV,12.3
2000 DEC,7.3
2001 JAN,2.9
2001 FEB,3.3
2001 MAR,-3.2
2001 APR,-4.2
2001 MAY,-1
2001 JUN,-4.7
2001 JUL,-6.9
2001 AUG,-4.2
2001 SEP,-6.8
2001 OCT,-6.6
2001 NOV,-13.3
2001 DEC,-13.2
2002 JAN,-8.6
2002 FEB,-8.9
2002 MAR,-4.9
2002 APR,-1.1
2002 MAY,-4.1
2002 JUN,-6
2002 JUL,-5.3
2002 AUG,-4.2
2002 SEP,-2.6
2002 OCT,-0.6
2002 NOV,4.1
2002 DEC,5.8
2003 JAN,7.2
2003 FEB,9.1
2003 MAR,11.5
2003 APR,4.5
2003 MAY,0.9
2003 JUN,0.9
2003 JUL,1.9
2003 AUG,3.1
2003 SEP,2.1
2003 OCT,1.8
2003 NOV,2.7
2003 DEC,3.1
2004 JAN,1.3
2004 FEB,-0.4
2004 MAR,-2.8
2004 APR,0
2004 MAY,8.9
2004 JUN,9.5
2004 JUL,8.1
2004 AUG,8.1
2004 SEP,8
2004 OCT,11.1
2004 NOV,11.9
2004 DEC,9.1
2005 JAN,5.2
2005 FEB,6.4
2005 MAR,8.1
2005 APR,11.4
2005 MAY,5.5
2005 JUN,6.6
2005 JUL,11.3
2005 AUG,13.7
2005 SEP,18.4
2005 OCT,14
2005 NOV,8.6
2005 DEC,8
2006 JAN,13.6
2006 FEB,12.9
2006 MAR,10.1
2006 APR,9.6
2006 MAY,13.8
2006 JUN,12.4
2006 JUL,10.7
2006 AUG,7.6
2006 SEP,-3.4
2006 OCT,-7.6
2006 NOV,-4.6
2006 DEC,0.6
2007 JAN,-2.6
2007 FEB,-4.3
2007 MAR,-1.7
2007 APR,-1.7
2007 MAY,-2
2007 JUN,0.3
2007 JUL,-1.8
2007 AUG,-2.4
2007 SEP,2.9
2007 OCT,11.7
2007 NOV,17.4
2007 DEC,17
2008 JAN,20.2
2008 FEB,21.4
2008 MAR,22.3
2008 APR,20.3
2008 MAY,21.3
2008 JUN,26.8
2008 JUL,29.3
2008 AUG,22.8
2008 SEP,22.2
2008 OCT,13
2008 NOV,-3.1
2008 DEC,-11
2009 JAN,-14.9
2009 FEB,-11.7
2009 MAR,-15.1
2009 APR,-13
2009 MAY,-14.1
2009 JUN,-15.8
2009 JUL,-17.2
2009 AUG,-12.1
2009 SEP,-8.2
2009 OCT,-4.5
2009 NOV,10.5
2009 DEC,18.1
2010 JAN,25.5
2010 FEB,21.1
2010 MAR,25.6
2010 APR,25.5
2010 MAY,23.3
2010 JUN,15.4
2010 JUL,14.8
2010 AUG,13.3
2010 SEP,8.5
2010 OCT,12
2010 NOV,10.2
2010 DEC,14.4
2011 JAN,15.8
2011 FEB,16.7
2011 MAR,16.7
2011 APR,13.2
2011 MAY,13.9
2011 JUN,16.5
2011 JUL,15.6
2011 AUG,17.7
2011 SEP,18.8
2011 OCT,16.2
2011 NOV,14
2011 DEC,9.2
2012 JAN,4.9
2012 FEB,5.6
2012 MAR,4.5
2012 APR,5.7
2012 MAY,1.6
2012 JUN,-2.8
2012 JUL,-1.8
2012 AUG,-0.6
2012 SEP,3.1
2012 OCT,2.9
2012 NOV,1
2012 DEC,0.3
2013 JAN,-0.4
2013 FEB,0.7
2013 MAR,1.5
2013 APR,-3.6
2013 MAY,-3.7
2013 JUN,1.8
2013 JUL,1.8
2013 AUG,1.8
2013 SEP,-0.9
2013 OCT,-4.2
2013 NOV,-3.7
2013 DEC,-1.7
2014 JAN,-1.4
2014 FEB,-4.9
2014 MAR,-7.9
2014 APR,-5.6
2014 MAY,-2.5
2014 JUN,-3.3
2014 JUL,-2.4
2014 AUG,-5.8
2014 SEP,-7
2014 OCT,-5
2014 NOV,-6.2
2014 DEC,-9.6
2015 JAN,-17
2015 FEB,-17.2
2015 MAR,-14.3
2015 APR,-13.3
2015 MAY,-11.9
2015 JUN,-11.2
2015 JUL,-12.4
2015 AUG,-13.2
2015 SEP,-15.8
2015 OCT,-15
2015 NOV,-14
2015 DEC,-14
2016 JAN,-8.7
2016 FEB,-8.7
2016 MAR,-10.6
2016 APR,-8.5
2016 MAY,-7.7
2016 JUN,-5.6
2016 JUL,-4.2
2016 AUG,-4.2
2016 SEP,1.7
2016 OCT,4.1
2016 NOV,9
2016 DEC,10.8
2017 JAN,18.1
2017 FEB,21.3
2017 MAR,19.6
2017 APR,13.1
2017 MAY,8.2
2017 JUN,5.2
2017 JUL,2.4
2017 AUG,6.5
2017 SEP,6.7
2017 OCT,4.7
2017 NOV,3.3
2017 DEC,5.6
2018 JAN,2.6
2018 FEB,1.8
2018 MAR,0.6
2018 APR,4
2018 MAY,9
2018 JUN,12.6
2018 JUL,13.4
2018 AUG,12.5
2018 SEP,11.6
2018 OCT,12.7
2018 NOV,10.2
2018 DEC,4.2
2019 JAN,1.9
2019 FEB,0.3
2019 MAR,3
2019 APR,3.6
2019 MAY,3.8
2019 JUN,0.7
2019 JUL,-0.1
2019 AUG,-0.1
2019 SEP,-1.9
2019 OCT,-2.8
2019 NOV,-3.5
2019 DEC,0.4
2020 JAN,4.3
2020 FEB,1.5
2020 MAR,-3
2020 APR,-13.2
2020 MAY,-18.7
2020 JUN,-17.7
2020 JUL,-12.7
2020 AUG,-12.6
2020 SEP,-12.2
2020 OCT,-11.9
2020 NOV,-11.6
2020 DEC,-9.6
2021 JAN,-9.6
2021 FEB,-2.9
2021 MAR,3.4
2021 APR,14.7
2021 MAY,19.6
2021 JUN,20.6
2021 JUL,18.3
2021 AUG,18.6
2021 SEP,18.7
2021 OCT,21.6
2021 NOV,29.4
2021 DEC,28
2022 JAN,24.5
2022 FEB,22.4
2022 MAR,33.3
2022 APR,34.3
2022 MAY,36.2
2022 JUN,44.4
2022 JUL,46.8
2022 AUG,32.8
2022 SEP,30.2
2022 OCT,24.5
2022 NOV,21.1
2022 DEC,13.5
2023 JAN,10.3
2023 FEB,6.2
2023 MAR,-6.4
2023 APR,-9.9
2023 MAY,-14.2
2023 JUN,-23.4
2023 JUL,-26
2023 AUG,-15.9
2023 SEP,-10.3
