date,unemployment_claimant_count,unemployment_percentage_rate
2000 JAN,1162.9,5.8
2000 FEB,1152.2,5.8
2000 MAR,1144,5.7
2000 APR,1113.3,5.6
2000 MAY,1104.7,5.5
2000 JUN,1093.6,5.3
2000 JUL,1074.7,5.3
2000 AUG,1060.4,5.3
2000 SEP,1044.8,5.4
2000 OCT,1044.7,5.3
2000 NOV,1035.6,5.2
2000 DEC,1029.9,5.2
2001 JAN,1008.6,5.2
2001 FEB,999.5,5.1
2001 MAR,990.9,5
2001 APR,975.5,4.9
2001 MAY,974.9,5
2001 JUN,961.6,5
2001 JUL,951.8,5.1
2001 AUG,951.2,5.1
2001 SEP,946.1,5.1
2001 OCT,953,5.1
2001 NOV,959.7,5.2
2001 DEC,966.5,5.2
2002 JAN,958.2,5.1
2002 FEB,951.9,5.2
2002 MAR,947.5,5.2
2002 APR,954.9,5.2
2002 MAY,947.1,5.2
2002 JUN,949.7,5.2
2002 JUL,950,5.2
2002 AUG,945.7,5.3
2002 SEP,943.7,5.2
2002 OCT,939.5,5.2
2002 NOV,936.4,5.1
2002 DEC,935.2,5
2003 JAN,939.3,5.1
2003 FEB,942.5,5.2
2003 MAR,941.2,5.1
2003 APR,936.1,5
2003 MAY,947.2,4.9
2003 JUN,947.1,5.1
2003 JUL,940.2,5.1
2003 AUG,933.3,5
2003 SEP,928.7,5
2003 OCT,922,4.9
2003 NOV,913,4.9
2003 DEC,906,4.8
2004 JAN,899.2,4.8
2004 FEB,892.1,4.8
2004 MAR,881,4.8
2004 APR,871.9,4.8
2004 MAY,858.1,4.8
2004 JUN,846.9,4.8
2004 JUL,836.4,4.7
2004 AUG,834.5,4.7
2004 SEP,832.9,4.7
2004 OCT,831.5,4.7
2004 NOV,829.5,4.7
2004 DEC,826.1,4.7
2005 JAN,823.7,4.8
2005 FEB,821.7,4.7
2005 MAR,830.1,4.7
2005 APR,840.3,4.8
2005 MAY,854.1,4.8
2005 JUN,863.2,4.7
2005 JUL,866.7,4.7
2005 AUG,868.2,4.7
2005 SEP,876.1,4.9
2005 OCT,888.2,5.1
2005 NOV,900.9,5.1
2005 DEC,908.1,5.1
2006 JAN,913.5,5.2
2006 FEB,923.8,5.2
2006 MAR,935.8,5.3
2006 APR,945.4,5.4
2006 MAY,950.8,5.5
2006 JUN,955.7,5.5
2006 JUL,956.7,5.5
2006 AUG,951.4,5.5
2006 SEP,958.1,5.5
2006 OCT,958.5,5.4
2006 NOV,949.2,5.5
2006 DEC,939.9,5.5
2007 JAN,925.6,5.5
2007 FEB,911.5,5.5
2007 MAR,896.8,5.5
2007 APR,878.2,5.4
2007 MAY,870.8,5.4
2007 JUN,861.9,5.3
2007 JUL,856.3,5.3
2007 AUG,851.3,5.3
2007 SEP,844.5,5.2
2007 OCT,836.3,5.2
2007 NOV,825.2,5.2
2007 DEC,815.2,5.2
2008 JAN,792,5.2
2008 FEB,778.4,5.2
2008 MAR,778.5,5.3
2008 APR,792.4,5.2
2008 MAY,814.7,5.4
2008 JUN,848.7,5.5
2008 JUL,882.7,5.7
2008 AUG,924.9,5.9
2008 SEP,968.6,6
2008 OCT,1012.3,6.2
2008 NOV,1100.4,6.4
2008 DEC,1179.4,6.5
2009 JAN,1240.8,6.7
2009 FEB,1383.6,7.1
2009 MAR,1457.1,7.3
2009 APR,1510.8,7.6
2009 MAY,1549.4,7.8
2009 JUN,1571.9,7.9
2009 JUL,1585.8,7.9
2009 AUG,1600.8,7.8
2009 SEP,1609.7,7.9
2009 OCT,1618.5,7.8
2009 NOV,1610.4,7.8
2009 DEC,1593.4,7.7
2010 JAN,1609,7.9
2010 FEB,1576.5,8
2010 MAR,1548.6,8
2010 APR,1526.1,7.9
2010 MAY,1494.8,7.9
2010 JUN,1471.3,7.8
2010 JUL,1458.2,7.8
2010 AUG,1457.3,7.8
2010 SEP,1457.1,7.9
2010 OCT,1451,7.9
2010 NOV,1452.4,7.9
2010 DEC,1454,7.9
2011 JAN,1461.8,7.8
2011 FEB,1458.5,7.8
2011 MAR,1463.5,7.7
2011 APR,1484.7,7.8
2011 MAY,1500.4,7.9
2011 JUN,1519.5,8
2011 JUL,1555.1,8.2
2011 AUG,1576.7,8.3
2011 SEP,1596,8.4
2011 OCT,1595.7,8.5
2011 NOV,1599.2,8.4
2011 DEC,1601.8,8.4
2012 JAN,1609.9,8.3
2012 FEB,1609.5,8.2
2012 MAR,1606.7,8.2
2012 APR,1582.6,8.1
2012 MAY,1585.5,8
2012 JUN,1589.3,8
2012 JUL,1583.7,7.9
2012 AUG,1571.4,7.9
2012 SEP,1571.3,7.9
2012 OCT,1579.8,7.8
2012 NOV,1576.9,7.8
2012 DEC,1560.3,7.8
2013 JAN,1550,8
2013 FEB,1544.6,7.8
2013 MAR,1530.6,7.8
2013 APR,1510.5,7.8
2013 MAY,1489.8,7.7
2013 JUN,1461.9,7.7
2013 JUL,1428.4,7.7
2013 AUG,1392.8,7.6
2013 SEP,1342.6,7.4
2013 OCT,1297.7,7.2
2013 NOV,1263.8,7.2
2013 DEC,1242,7.2
2014 JAN,1221.4,6.9
2014 FEB,1187.2,6.8
2014 MAR,1152.5,6.6
2014 APR,1119.8,6.4
2014 MAY,1085.5,6.3
2014 JUN,1042.1,6.1
2014 JUL,1008.8,6
2014 AUG,971.7,6
2014 SEP,947.4,6
2014 OCT,922.5,5.9
2014 NOV,897.9,5.7
2014 DEC,876.6,5.7
2015 JAN,855.5,5.6
2015 FEB,834.7,5.5
2015 MAR,814.8,5.5
2015 APR,804.7,5.6
2015 MAY,795.8,5.6
2015 JUN,794.7,5.5
2015 JUL,790.9,5.4
2015 AUG,785.2,5.3
2015 SEP,780.6,5.2
2015 OCT,776.9,5.1
2015 NOV,771.5,5.1
2015 DEC,769.6,5.1
2016 JAN,764.8,5.1
2016 FEB,758.5,5.1
2016 MAR,766.5,5
2016 APR,765.1,4.9
2016 MAY,767.3,4.9
2016 JUN,772.4,4.9
2016 JUL,772.1,5
2016 AUG,776.7,4.8
2016 SEP,779.6,4.8
2016 OCT,783,4.8
2016 NOV,787.2,4.7
2016 DEC,780.5,4.7
2017 JAN,772.3,4.6
2017 FEB,768.3,4.6
2017 MAR,782.8,4.5
2017 APR,791.7,4.4
2017 MAY,795.2,4.4
2017 JUN,797,4.3
2017 JUL,797.3,4.3
2017 AUG,797.7,4.3
2017 SEP,800.5,4.2
2017 OCT,804.1,4.3
2017 NOV,811.5,4.4
2017 DEC,824,4.3
2018 JAN,832.9,4.2
2018 FEB,842.8,4.2
2018 MAR,854.6,4.2
2018 APR,866.2,4.2
2018 MAY,880.1,4
2018 JUN,881.4,4
2018 JUL,892.2,4
2018 AUG,904.1,4.1
2018 SEP,926.4,4.1
2018 OCT,951.1,4
2018 NOV,973.3,4
2018 DEC,1000.5,3.9
2019 JAN,1019.1,3.9
2019 FEB,1039.7,3.8
2019 MAR,1059.4,3.8
2019 APR,1079.5,3.8
2019 MAY,1097,3.9
2019 JUN,1126.6,3.8
2019 JUL,1143.2,3.9
2019 AUG,1163.5,3.8
2019 SEP,1183.4,3.8
2019 OCT,1211.4,3.8
2019 NOV,1232.4,3.8
2019 DEC,1240.3,3.9
2020 JAN,1229.2,4
2020 FEB,1227.5,4
2020 MAR,1229.9,4.1
2020 APR,2090.3,4.1
2020 MAY,2657.2,4.1
2020 JUN,2592,4.3
2020 JUL,2652.4,4.6
2020 AUG,2698.6,4.9
2020 SEP,2681.1,5.1
2020 OCT,2597.8,5.1
2020 NOV,2639.5,5.2
2020 DEC,2622,5.1
2021 JAN,2569.7,5.1
2021 FEB,2642.5,4.9
2021 MAR,2628.8,4.9
2021 APR,2601.7,4.9
2021 MAY,2452.3,4.7
2021 JUN,2283.1,4.6
2021 JUL,2237.9,4.4
2021 AUG,2148.8,4.3
2021 SEP,2054.7,4.2
2021 OCT,1987.8,4.1
2021 NOV,1910.9,4
2021 DEC,1840.1,4
2022 JAN,1785.8,3.8
2022 FEB,1735.1,3.7
2022 MAR,1667.3,3.8
2022 APR,1605.4,3.8
2022 MAY,1573.9,3.8
2022 JUN,1549.4,3.6
2022 JUL,1532.6,3.5
2022 AUG,1521,3.6
2022 SEP,1527.5,3.7
2022 OCT,1519,3.7
2022 NOV,1532.5,3.7
2022 DEC,1539.5,3.7
2023 JAN,1518,3.8
2023 FEB,1499.2,3.9
2023 MAR,1525.7,3.8
2023 APR,1549.1,4
2023 MAY,1526.6,4.2
2023 JUN,1542.8,4.3
